cost_change_id,제품도번,원가항목,변경일,적용시작일,이전금액,이후금액,변경액,트리거유형,관련자재코드,공급사,근거문서번호
CS0001,P-3010,인건비,2024-01-01,2024-01-02,31.5,32.6,1.1,최저임금,,,
CS0002,P-3018,가공비,2024-01-01,2024-01-10,65.4,66.7,1.3,공정변경,,,
CS0003,P-3018,경비,2024-01-01,2024-01-02,39.7,40.4,0.7,기타,,,
CS0004,P-3019,가공비,2024-01-01,2024-01-06,58.7,60.7,2.0,에너지비,,,
CS0005,P-3019,경비,2024-01-01,2024-01-10,42.4,43.0,0.6,기타,,,
CS0006,P-3015,재료비,2024-01-02,2024-01-02,38.9,41.7,2.8,자재단가,RES-106,도료공급-가,원가2024-0174
CS0007,P-3023,가공비,2024-01-02,2024-01-15,54.3,55.2,0.9,공정변경,,,
CS0008,P-3034,인건비,2024-01-02,2024-01-11,33.0,34.1,1.1,최저임금,,,
CS0009,P-3023,인건비,2024-01-03,2024-01-07,32.1,33.5,1.4,최저임금,,,
CS0010,P-3024,인건비,2024-01-03,2024-01-05,36.7,38.1,1.4,최저임금,,,
CS0011,P-3028,인건비,2024-01-03,2024-01-17,35.5,36.5,1.0,최저임금,,,
CS0012,P-3032,인건비,2024-01-03,2024-01-10,32.1,32.8,0.7,최저임금,,,
CS0013,P-3027,인건비,2024-01-04,2024-01-14,35.6,37.0,1.4,최저임금,,,
CS0014,P-3030,인건비,2024-01-04,2024-01-10,35.4,36.4,1.0,최저임금,,,
CS0015,P-3001,인건비,2024-01-05,2024-01-18,36.0,37.5,1.5,최저임금,,,
CS0016,P-3016,인건비,2024-01-06,2024-01-09,37.0,38.5,1.5,최저임금,,,
CS0017,P-3033,인건비,2024-01-07,2024-01-08,33.7,34.7,1.0,최저임금,,,
CS0018,P-3008,인건비,2024-01-09,2024-01-19,38.6,39.6,1.0,최저임금,,,
CS0019,P-3019,인건비,2024-01-09,2024-01-10,36.4,37.7,1.3,최저임금,,,
CS0020,P-3026,재료비,2024-01-11,2024-01-13,103.1,114.8,11.7,환율,RES-112,수지공급-나,원가2024-0139
CS0021,P-3005,인건비,2024-01-12,2024-01-19,38.6,39.7,1.1,최저임금,,,
CS0022,P-3011,인건비,2024-01-12,2024-01-18,36.1,37.0,0.9,최저임금,,,
CS0023,P-3018,인건비,2024-01-12,2024-01-18,37.6,38.4,0.8,최저임금,,,
CS0024,P-3035,재료비,2024-01-12,2024-01-21,159.2,167.8,8.6,환율,RES-103,도료공급-가,원가2024-0276
CS0025,P-3007,재료비,2024-01-13,2024-01-13,25.3,27.4,2.1,환율,RES-102,도료공급-나,원가2024-0841
CS0026,P-3025,인건비,2024-01-13,2024-01-15,33.1,34.3,1.2,최저임금,,,
CS0027,P-3026,인건비,2024-01-13,2024-01-26,41.5,42.5,1.0,최저임금,,,
CS0028,P-3035,인건비,2024-01-13,2024-01-23,37.8,39.1,1.3,최저임금,,,
CS0029,P-3014,인건비,2024-01-14,2024-01-28,39.2,40.5,1.3,최저임금,,,
CS0030,P-3009,인건비,2024-01-15,2024-01-22,31.0,32.3,1.3,최저임금,,,
CS0031,P-3017,인건비,2024-01-15,2024-01-17,40.1,41.3,1.2,최저임금,,,
CS0032,P-3002,인건비,2024-01-16,2024-01-26,40.5,42.0,1.5,최저임금,,,
CS0033,P-3007,인건비,2024-01-16,2024-01-23,36.1,37.0,0.9,최저임금,,,
CS0034,P-3016,가공비,2024-01-16,2024-01-24,66.8,67.5,0.7,에너지비,,,
CS0035,P-3021,인건비,2024-01-16,2024-01-20,34.6,35.7,1.1,최저임금,,,
CS0036,P-3004,인건비,2024-01-17,2024-01-27,37.9,39.3,1.4,최저임금,,,
CS0037,P-3023,경비,2024-01-17,2024-01-19,35.3,36.1,0.8,에너지비,,,
CS0038,P-3031,인건비,2024-01-17,2024-01-29,36.0,37.5,1.5,최저임금,,,
CS0039,P-3001,재료비,2024-01-18,2024-01-30,13.9,14.9,1.0,환율,RES-105,도료공급-나,원가2024-0088
CS0040,P-3015,인건비,2024-01-18,2024-01-31,37.4,38.8,1.4,최저임금,,,
CS0041,P-3020,인건비,2024-01-18,2024-01-24,33.2,34.4,1.2,최저임금,,,
CS0042,P-3010,재료비,2024-01-19,2024-01-25,176.7,163.3,-13.4,환율,RES-107,도료공급-가,원가2024-0821
CS0043,P-3012,인건비,2024-01-19,2024-01-31,35.4,36.2,0.8,최저임금,,,
CS0044,P-3022,인건비,2024-01-19,2024-01-22,32.6,34.0,1.4,최저임금,,,
CS0045,P-3029,인건비,2024-01-19,2024-02-02,36.4,37.4,1.0,최저임금,,,
CS0046,P-3003,인건비,2024-01-20,2024-01-24,38.5,40.1,1.6,최저임금,,,
CS0047,P-3006,인건비,2024-01-20,2024-01-26,35.6,36.7,1.1,최저임금,,,
CS0048,P-3013,인건비,2024-01-20,2024-02-01,37.6,38.8,1.2,최저임금,,,
CS0049,P-3016,경비,2024-01-20,2024-02-03,22.6,23.0,0.4,에너지비,,,
CS0050,P-3006,가공비,2024-01-21,2024-01-31,59.1,60.2,1.1,공정변경,,,
CS0051,P-3015,재료비,2024-01-24,2024-01-30,41.7,45.4,3.7,자재단가,RES-107,도료공급-가,원가2024-0550
CS0052,P-3002,경비,2024-01-26,2024-01-27,25.9,25.2,-0.7,에너지비,,,
CS0053,P-3021,가공비,2024-01-28,2024-02-03,58.6,60.1,1.5,공정변경,,,
CS0054,P-3015,재료비,2024-01-29,2024-02-11,45.4,47.1,1.7,환율,RES-106,도료공급-가,원가2024-0474
CS0055,P-3021,경비,2024-01-29,2024-02-04,19.1,18.7,-0.4,에너지비,,,
CS0056,P-3013,재료비,2024-01-31,2024-02-02,102.7,113.5,10.8,환율,RES-108,도료공급-나,원가2024-0583
CS0057,P-3002,가공비,2024-02-05,2024-02-08,67.6,68.5,0.9,공정변경,,,
CS0058,P-3031,재료비,2024-02-07,2024-02-20,26.0,28.0,2.0,자재단가,RES-110,수지공급-가,원가2024-0416
CS0059,P-3032,가공비,2024-02-07,2024-02-12,57.2,56.2,-1.0,공정변경,,,
CS0060,P-3017,재료비,2024-02-16,2024-02-22,43.6,48.0,4.4,자재단가,RES-101,도료공급-나,원가2024-0972
CS0061,P-3031,재료비,2024-02-16,2024-02-25,28.0,26.0,-2.0,환율,RES-101,도료공급-나,원가2024-0591
CS0062,P-3008,재료비,2024-02-19,2024-02-24,42.2,38.8,-3.4,자재단가,RES-102,도료공급-나,원가2024-0819
CS0063,P-3008,재료비,2024-02-19,2024-03-02,38.8,36.3,-2.5,자재단가,RES-106,도료공급-가,원가2024-0535
CS0064,P-3016,경비,2024-02-19,2024-02-27,23.0,23.6,0.6,에너지비,,,
CS0065,P-3011,재료비,2024-02-20,2024-03-04,29.1,31.9,2.8,환율,RES-111,수지공급-가,원가2024-0663
CS0066,P-3007,재료비,2024-02-22,2024-02-27,27.4,29.0,1.6,자재단가,RES-105,도료공급-나,원가2024-0374
CS0067,P-3024,재료비,2024-02-22,2024-02-22,58.2,62.0,3.8,자재단가,RES-108,도료공급-나,원가2024-0906
CS0068,P-3008,재료비,2024-02-23,2024-03-08,36.3,38.3,2.0,환율,RES-111,수지공급-가,원가2024-0992
CS0069,P-3012,가공비,2024-02-23,2024-02-28,59.3,60.6,1.3,공정변경,,,
CS0070,P-3017,재료비,2024-02-26,2024-03-09,48.0,52.5,4.5,환율,RES-102,도료공급-나,원가2024-0736
CS0071,P-3005,경비,2024-02-27,2024-03-08,25.7,25.1,-0.6,에너지비,,,
CS0072,P-3020,재료비,2024-02-27,2024-03-01,127.0,136.1,9.1,자재단가,RES-108,도료공급-나,원가2024-0144
CS0073,P-3012,가공비,2024-02-28,2024-03-13,60.6,61.7,1.1,공정변경,,,
CS0074,P-3035,재료비,2024-03-01,2024-03-15,167.8,180.0,12.2,환율,RES-108,도료공급-나,원가2024-0182
CS0075,P-3005,가공비,2024-03-03,2024-03-17,64.7,65.7,1.0,에너지비,,,
CS0076,P-3003,가공비,2024-03-10,2024-03-17,68.9,70.2,1.3,공정변경,,,
CS0077,P-3032,가공비,2024-03-13,2024-03-23,56.2,57.8,1.6,공정변경,,,
CS0078,P-3028,재료비,2024-03-19,2024-03-29,47.6,52.5,4.9,자재단가,RES-108,도료공급-나,원가2024-0560
CS0079,P-3033,재료비,2024-03-19,2024-04-01,24.6,26.9,2.3,환율,RES-104,도료공급-나,원가2024-0890
CS0080,P-3035,재료비,2024-03-19,2024-03-21,180.0,191.9,11.9,환율,RES-108,도료공급-나,원가2024-0801
CS0081,P-3030,재료비,2024-03-20,2024-03-30,26.1,28.5,2.4,자재단가,RES-101,도료공급-나,원가2024-0851
CS0082,P-3020,재료비,2024-03-21,2024-04-01,136.1,141.6,5.5,자재단가,RES-105,도료공급-나,원가2024-0739
CS0083,P-3033,재료비,2024-03-29,2024-04-09,26.9,28.0,1.1,환율,RES-110,수지공급-가,원가2024-0372
CS0084,P-3015,가공비,2024-04-05,2024-04-07,63.3,64.1,0.8,공정변경,,,
CS0085,P-3001,재료비,2024-04-08,2024-04-16,14.9,16.8,1.9,환율,RES-107,도료공급-가,원가2024-0204
CS0086,P-3024,재료비,2024-04-15,2024-04-21,62.0,67.0,5.0,자재단가,RES-108,도료공급-나,원가2024-0578
CS0087,P-3025,경비,2024-04-15,2024-04-19,22.0,21.5,-0.5,기타,,,
CS0088,P-3019,가공비,2024-04-16,2024-04-27,60.7,61.7,1.0,공정변경,,,
CS0089,P-3024,재료비,2024-04-18,2024-04-28,67.0,62.0,-5.0,환율,RES-106,도료공급-가,원가2024-0427
CS0090,P-3025,가공비,2024-04-18,2024-04-28,55.0,56.7,1.7,공정변경,,,
CS0091,P-3029,경비,2024-04-20,2024-04-23,35.2,34.6,-0.6,에너지비,,,
CS0092,P-3001,재료비,2024-04-21,2024-04-25,16.8,18.5,1.7,환율,RES-101,도료공급-나,원가2024-0976
CS0093,P-3029,가공비,2024-04-21,2024-04-24,60.0,61.5,1.5,공정변경,,,
CS0094,P-3015,경비,2024-04-23,2024-04-29,23.2,23.8,0.6,에너지비,,,
CS0095,P-3024,재료비,2024-04-25,2024-04-29,62.0,64.2,2.2,자재단가,RES-105,도료공급-나,원가2024-0549
CS0096,P-3022,재료비,2024-04-30,2024-05-06,41.5,46.0,4.5,자재단가,RES-107,도료공급-가,원가2024-0168
CS0097,P-3014,재료비,2024-05-01,2024-05-09,20.8,21.7,0.9,환율,RES-101,도료공급-나,원가2024-0535
CS0098,P-3028,재료비,2024-05-16,2024-05-16,52.5,54.5,2.0,환율,RES-110,수지공급-가,원가2024-0959
CS0099,P-3031,가공비,2024-05-16,2024-05-17,61.9,64.0,2.1,에너지비,,,
CS0100,P-3010,재료비,2024-05-24,2024-05-29,163.3,173.0,9.7,자재단가,RES-106,도료공급-가,원가2024-0564
CS0101,P-3035,재료비,2024-05-25,2024-06-08,191.9,180.9,-11.0,자재단가,RES-105,도료공급-나,원가2024-0370
CS0102,P-3004,재료비,2024-05-27,2024-06-05,28.2,30.9,2.7,자재단가,RES-101,도료공급-나,원가2024-0620
CS0103,P-3022,재료비,2024-05-27,2024-06-03,46.0,49.7,3.7,자재단가,RES-106,도료공급-가,원가2024-0886
CS0104,P-3007,재료비,2024-06-02,2024-06-07,29.0,30.0,1.0,환율,RES-112,수지공급-나,원가2024-0281
CS0105,P-3011,재료비,2024-06-06,2024-06-12,31.9,33.1,1.2,환율,RES-112,수지공급-나,원가2024-0754
CS0106,P-3027,재료비,2024-06-06,2024-06-06,55.9,57.8,1.9,환율,RES-110,수지공급-가,원가2024-0033
CS0107,P-3021,재료비,2024-06-11,2024-06-24,23.6,25.4,1.8,자재단가,RES-111,수지공급-가,원가2024-0825
CS0108,P-3022,재료비,2024-06-11,2024-06-17,49.7,54.8,5.1,자재단가,RES-104,도료공급-나,원가2024-0625
CS0109,P-3023,경비,2024-06-11,2024-06-14,36.1,37.1,1.0,기타,,,
CS0110,P-3001,재료비,2024-06-13,2024-06-17,18.5,19.6,1.1,환율,RES-109,수지공급-나,원가2024-0683
CS0111,P-3006,가공비,2024-06-14,2024-06-21,60.2,61.5,1.3,공정변경,,,
CS0112,P-3026,재료비,2024-06-15,2024-06-26,114.8,119.1,4.3,자재단가,RES-104,도료공급-나,원가2024-0991
CS0113,P-3017,재료비,2024-06-16,2024-06-24,52.5,56.1,3.6,자재단가,RES-101,도료공급-나,원가2024-0738
CS0114,P-3023,가공비,2024-06-23,2024-06-27,55.2,57.0,1.8,에너지비,,,
CS0115,P-3001,재료비,2024-06-28,2024-07-09,19.6,21.0,1.4,환율,RES-102,도료공급-나,원가2024-0288
CS0116,P-3014,가공비,2024-06-29,2024-07-07,68.8,67.5,-1.3,공정변경,,,
CS0117,P-3018,가공비,2024-07-06,2024-07-18,66.7,64.2,-2.5,공정변경,,,
CS0118,P-3034,가공비,2024-07-08,2024-07-16,56.1,57.6,1.5,공정변경,,,
CS0119,P-3024,가공비,2024-07-11,2024-07-21,59.1,61.5,2.4,공정변경,,,
CS0120,P-3034,경비,2024-07-16,2024-07-29,40.8,41.9,1.1,에너지비,,,
CS0121,P-3024,경비,2024-07-21,2024-08-03,23.6,23.8,0.2,기타,,,
CS0122,P-3033,가공비,2024-07-22,2024-08-04,60.4,59.6,-0.8,공정변경,,,
CS0123,P-3002,가공비,2024-07-28,2024-07-28,68.5,69.8,1.3,공정변경,,,
CS0124,P-3026,재료비,2024-07-30,2024-08-05,119.1,123.1,4.0,자재단가,RES-108,도료공급-나,원가2024-0664
CS0125,P-3013,재료비,2024-07-31,2024-08-07,113.5,119.1,5.6,자재단가,RES-107,도료공급-가,원가2024-0931
CS0126,P-3022,재료비,2024-07-31,2024-08-14,54.8,59.2,4.4,자재단가,RES-105,도료공급-나,원가2024-0786
CS0127,P-3017,재료비,2024-08-03,2024-08-05,56.1,58.4,2.3,환율,RES-101,도료공급-나,원가2024-0664
CS0128,P-3029,가공비,2024-08-20,2024-08-30,61.5,62.5,1.0,에너지비,,,
CS0129,P-3025,재료비,2024-08-21,2024-08-26,52.6,57.1,4.5,자재단가,RES-108,도료공급-나,원가2024-0214
CS0130,P-3007,가공비,2024-08-22,2024-09-03,59.8,62.3,2.5,에너지비,,,
CS0131,P-3014,재료비,2024-08-22,2024-08-27,21.7,23.6,1.9,자재단가,RES-105,도료공급-나,원가2024-0661
CS0132,P-3004,재료비,2024-08-25,2024-08-29,30.9,34.2,3.3,자재단가,RES-101,도료공급-나,원가2024-0610
CS0133,P-3025,재료비,2024-08-26,2024-08-26,57.1,52.6,-4.5,환율,RES-110,수지공급-가,원가2024-0377
CS0134,P-3022,재료비,2024-08-30,2024-09-06,59.2,61.5,2.3,자재단가,RES-102,도료공급-나,원가2024-0870
CS0135,P-3007,경비,2024-09-08,2024-09-10,18.3,18.5,0.2,기타,,,
CS0136,P-3008,재료비,2024-09-16,2024-09-20,38.3,41.7,3.4,자재단가,RES-109,수지공급-나,원가2024-0836
CS0137,P-3028,가공비,2024-09-19,2024-09-25,60.8,61.7,0.9,에너지비,,,
CS0138,P-3003,가공비,2024-09-22,2024-09-30,70.2,68.5,-1.7,공정변경,,,
CS0139,P-3031,재료비,2024-09-29,2024-10-11,26.0,28.0,2.0,환율,RES-104,도료공급-나,원가2024-0033
CS0140,P-3035,경비,2024-10-05,2024-10-13,40.5,40.9,0.4,에너지비,,,
CS0141,P-3035,가공비,2024-10-11,2024-10-15,63.8,64.6,0.8,에너지비,,,
CS0142,P-3023,재료비,2024-10-18,2024-10-28,135.0,144.6,9.6,환율,RES-104,도료공급-나,원가2024-0494
CS0143,P-3015,재료비,2024-10-21,2024-10-31,47.1,51.2,4.1,환율,RES-102,도료공급-나,원가2024-0800
CS0144,P-3020,재료비,2024-10-24,2024-11-05,141.6,149.2,7.6,자재단가,RES-104,도료공급-나,원가2024-0226
CS0145,P-3018,재료비,2024-10-29,2024-10-31,133.9,146.5,12.6,자재단가,RES-104,도료공급-나,원가2024-0410
CS0146,P-3027,재료비,2024-11-03,2024-11-13,57.8,59.8,2.0,환율,RES-111,수지공급-가,원가2024-0270
CS0147,P-3026,가공비,2024-11-09,2024-11-19,74.5,71.9,-2.6,공정변경,,,
CS0148,P-3026,경비,2024-11-12,2024-11-20,34.6,35.2,0.6,기타,,,
CS0149,P-3004,가공비,2024-11-20,2024-11-28,65.9,67.9,2.0,공정변경,,,
CS0150,P-3009,재료비,2024-11-22,2024-11-28,63.6,58.0,-5.6,자재단가,RES-107,도료공급-가,원가2024-0087
CS0151,P-3011,재료비,2024-11-23,2024-11-28,33.1,34.2,1.1,자재단가,RES-109,수지공급-나,원가2024-0763
CS0152,P-3002,재료비,2024-11-27,2024-12-06,44.7,50.0,5.3,자재단가,RES-111,수지공급-가,원가2024-0644
CS0153,P-3013,가공비,2024-12-08,2024-12-20,64.2,65.9,1.7,공정변경,,,
